/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10011.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '1544.09090909 0.0'), ('-1000 0.09', '1403.95454545 0.0'), ('-1000 0.13', '1472.45454545 0.0'), ('-1000 0.17', '1375.45454545 0.0'), ('-1000 0.21', '3684.63636364 0.0'), ('-1000 0.25', '3932.22727273 0.0'), ('-1000 0.29', '2983.04545455 0.0'), ('-1000 0.33', '4396.36363636 0.0'), ('-1000 0.37', '4455.63636364 0.0'), ('-1000 0.41', '4521.63636364 0.0'), ('-1000 0.45', '4396.90909091 0.0'), ('-1000 0.49', '3767.90909091 0.0'), ('-1000 0.53', '4677.59090909 0.0'), ('-1000 0.57', '3952.5 0.0'), ('-1000 0.61', '4771.72727273 0.0'), ('-1000 0.65', '4792.5 0.0'), ('-1000 0.69', '4792.5 0.0'), ('-1000 0.73', '4886.63636364 0.0'), ('-1000 0.77', '4886.63636364 0.0'), ('-1000 0.81', '4879.90909091 0.0'), ('-1000 0.85', '3989.86363636 0.0'), ('-1000 0.89', '4994.81818182 0.0'), ('-1000 0.93', '4994.81818182 0.0'), ('-1000 0.97', '4994.81818182 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/1003.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '1650.47826087 0.0'), ('-1000 0.09', '3459.7826087 0.0'), ('-1000 0.13', '4238.08695652 0.0'), ('-1000 0.17', '4504.17391304 0.0'), ('-1000 0.21', '4823.47826087 0.0'), ('-1000 0.25', '4823.47826087 0.0'), ('-1000 0.29', '4823.47826087 0.0'), ('-1000 0.33', '4823.47826087 0.0'), ('-1000 0.37', '4823.47826087 0.0'), ('-1000 0.41', '4823.47826087 0.0'), ('-1000 0.45', '4823.47826087 0.0'), ('-1000 0.49', '4823.47826087 0.0'), ('-1000 0.53', '4823.47826087 0.0'), ('-1000 0.57', '4823.47826087 0.0'), ('-1000 0.61', '4823.47826087 0.0'), ('-1000 0.65', '4823.47826087 0.0'), ('-1000 0.69', '4823.47826087 0.0'), ('-1000 0.73', '4823.47826087 0.0'), ('-1000 0.77', '4823.47826087 0.0'), ('-1000 0.81', '4823.47826087 0.0'), ('-1000 0.85', '4823.47826087 0.0'), ('-1000 0.89', '4823.47826087 0.0'), ('-1000 0.93', '4823.47826087 0.0'), ('-1000 0.97', '4823.47826087 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/1000.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '1036.56 0.0'), ('-1000 0.09', '1283.72 0.0'), ('-1000 0.13', '1544.72 0.0'), ('-1000 0.17', '1844.36 0.0'), ('-1000 0.21', '2191.28 0.0'), ('-1000 0.25', '1662.44 0.0'), ('-1000 0.29', '2372.2 0.011'), ('-1000 0.33', '2421.16 0.011'), ('-1000 0.37', '2378.2 0.011'), ('-1000 0.41', '2328.56 0.045'), ('-1000 0.45', '2295.2 0.015'), ('-1000 0.49', '2433.08 0.014'), ('-1000 0.53', '2415.8 0.016'), ('-1000 0.57', '2458.84 0.016'), ('-1000 0.61', '2458.84 0.016'), ('-1000 0.65', '2673.75 0.056'), ('-1000 0.69', '2255.04 0.016'), ('-1000 0.73', '2519.12 0.084'), ('-1000 0.77', '2036.52 0.093'), ('-1000 0.81', '2991.375 0.125'), ('-1000 0.85', '2991.375 0.125'), ('-1000 0.89', '3365.90909091 0.176'), ('-1000 0.93', '3365.90909091 0.176'), ('-1000 0.97', '3365.90909091 0.176')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10015.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1048.28571429 0.0'), ('-1000 0.05', '2803.92857143 0.0'), ('-1000 0.09', '4171.39285714 0.0'), ('-1000 0.13', '4171.39285714 0.0'), ('-1000 0.17', '4664.25 0.0'), ('-1000 0.21', '4664.25 0.0'), ('-1000 0.25', '4664.25 0.0'), ('-1000 0.29', '4664.25 0.0'), ('-1000 0.33', '4664.25 0.0'), ('-1000 0.37', '4664.25 0.0'), ('-1000 0.41', '4664.25 0.0'), ('-1000 0.45', '4664.25 0.0'), ('-1000 0.49', '4664.25 0.0'), ('-1000 0.53', '4664.25 0.0'), ('-1000 0.57', '4664.25 0.0'), ('-1000 0.61', '4664.25 0.0'), ('-1000 0.65', '4664.25 0.0'), ('-1000 0.69', '4664.25 0.0'), ('-1000 0.73', '4664.25 0.0'), ('-1000 0.77', '4664.25 0.0'), ('-1000 0.81', '4664.25 0.0'), ('-1000 0.85', '4664.25 0.0'), ('-1000 0.89', '4664.25 0.0'), ('-1000 0.93', '4664.25 0.0'), ('-1000 0.97', '4664.25 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10018.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1050.0 0.0'), ('-1000 0.05', '1972.7037037 0.0'), ('-1000 0.09', '3754.77777778 0.0'), ('-1000 0.13', '2183.25925926 0.0'), ('-1000 0.17', '2478.62962963 0.0'), ('-1000 0.21', '4914.51851852 0.0'), ('-1000 0.25', '4673.88888889 0.0'), ('-1000 0.29', '4519.96296296 0.0'), ('-1000 0.33', '4565.2962963 0.0'), ('-1000 0.37', '4934.92592593 0.0'), ('-1000 0.41', '5161.59259259 0.0'), ('-1000 0.45', '5161.59259259 0.0'), ('-1000 0.49', '5161.59259259 0.0'), ('-1000 0.53', '5161.59259259 0.0'), ('-1000 0.57', '5161.59259259 0.0'), ('-1000 0.61', '5161.59259259 0.0'), ('-1000 0.65', '5161.59259259 0.0'), ('-1000 0.69', '5161.59259259 0.0'), ('-1000 0.73', '5161.59259259 0.0'), ('-1000 0.77', '5161.59259259 0.0'), ('-1000 0.81', '5161.59259259 0.0'), ('-1000 0.85', '5161.59259259 0.0'), ('-1000 0.89', '5161.59259259 0.0'), ('-1000 0.93', '5161.59259259 0.0'), ('-1000 0.97', '5161.59259259 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10021.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1731.4137931 0.0'), ('-1000 0.05', '2467.89655172 0.0'), ('-1000 0.09', '2666.65517241 0.0'), ('-1000 0.13', '2732.96551724 0.0'), ('-1000 0.17', '2775.17241379 0.0'), ('-1000 0.21', '3378.82758621 0.0'), ('-1000 0.25', '3569.44827586 0.0'), ('-1000 0.29', '3696.06896552 0.0'), ('-1000 0.33', '3696.06896552 0.0'), ('-1000 0.37', '3696.06896552 0.0'), ('-1000 0.41', '3696.06896552 0.0'), ('-1000 0.45', '3696.06896552 0.0'), ('-1000 0.49', '3696.06896552 0.0'), ('-1000 0.53', '3696.06896552 0.0'), ('-1000 0.57', '3696.06896552 0.0'), ('-1000 0.61', '3696.06896552 0.0'), ('-1000 0.65', '3696.06896552 0.0'), ('-1000 0.69', '3696.06896552 0.0'), ('-1000 0.73', '3696.06896552 0.0'), ('-1000 0.77', '3696.06896552 0.0'), ('-1000 0.81', '3696.06896552 0.0'), ('-1000 0.85', '3696.06896552 0.0'), ('-1000 0.89', '3696.06896552 0.0'), ('-1000 0.93', '3696.06896552 0.0'), ('-1000 0.97', '3696.06896552 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10038.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1050.0 0.0'), ('-1000 0.05', '1735.88888889 0.0'), ('-1000 0.09', '3988.0 0.0'), ('-1000 0.13', '4694.44444444 0.0'), ('-1000 0.17', '4882.22222222 0.0'), ('-1000 0.21', '1434.2962963 0.0'), ('-1000 0.25', '4992.77777778 0.0'), ('-1000 0.29', '5126.74074074 0.0'), ('-1000 0.33', '4015.0 0.0'), ('-1000 0.37', '4530.44444444 0.0'), ('-1000 0.41', '5251.77777778 0.0'), ('-1000 0.45', '4575.77777778 0.0'), ('-1000 0.49', '5025.11111111 0.0'), ('-1000 0.53', '5025.11111111 0.0'), ('-1000 0.57', '5342.44444444 0.0'), ('-1000 0.61', '5342.44444444 0.0'), ('-1000 0.65', '5342.44444444 0.0'), ('-1000 0.69', '5342.44444444 0.0'), ('-1000 0.73', '5342.44444444 0.0'), ('-1000 0.77', '5342.44444444 0.0'), ('-1000 0.81', '5342.44444444 0.0'), ('-1000 0.85', '5342.44444444 0.0'), ('-1000 0.89', '5342.44444444 0.0'), ('-1000 0.93', '5342.44444444 0.0'), ('-1000 0.97', '5342.44444444 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10039.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1168.76923077 0.0'), ('-1000 0.05', '1946.0 0.0'), ('-1000 0.09', '2612.23076923 0.0'), ('-1000 0.13', '3371.5 0.0'), ('-1000 0.17', '3592.84615385 0.0'), ('-1000 0.21', '3592.84615385 0.0'), ('-1000 0.25', '4420.38461538 0.0'), ('-1000 0.29', '4467.46153846 0.0'), ('-1000 0.33', '4426.07692308 0.0'), ('-1000 0.37', '4851.30769231 0.0'), ('-1000 0.41', '5133.76923077 0.0'), ('-1000 0.45', '5133.76923077 0.0'), ('-1000 0.49', '5133.76923077 0.0'), ('-1000 0.53', '5133.76923077 0.0'), ('-1000 0.57', '5133.76923077 0.0'), ('-1000 0.61', '5133.76923077 0.0'), ('-1000 0.65', '5133.76923077 0.0'), ('-1000 0.69', '5133.76923077 0.0'), ('-1000 0.73', '5133.76923077 0.0'), ('-1000 0.77', '5133.76923077 0.0'), ('-1000 0.81', '5133.76923077 0.0'), ('-1000 0.85', '5133.76923077 0.0'), ('-1000 0.89', '5133.76923077 0.0'), ('-1000 0.93', '5133.76923077 0.0'), ('-1000 0.97', '5133.76923077 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10028.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '1126.0 0.0'), ('-1000 0.09', '2019.42857143 0.0'), ('-1000 0.13', '3303.10714286 0.0'), ('-1000 0.17', '3857.82142857 0.0'), ('-1000 0.21', '3972.32142857 0.0'), ('-1000 0.25', '4394.92857143 0.0'), ('-1000 0.29', '4381.46428571 0.0'), ('-1000 0.33', '3341.85714286 0.0'), ('-1000 0.37', '4598.07142857 0.0'), ('-1000 0.41', '4410.78571429 0.0'), ('-1000 0.45', '4449.21428571 0.0'), ('-1000 0.49', '4660.96428571 0.0'), ('-1000 0.53', '4797.89285714 0.0'), ('-1000 0.57', '4781.10714286 0.0'), ('-1000 0.61', '4831.03571429 0.0'), ('-1000 0.65', '4710.07142857 0.0'), ('-1000 0.69', '4912.25 0.0'), ('-1000 0.73', '4898.78571429 0.002'), ('-1000 0.77', '4898.78571429 0.002'), ('-1000 0.81', '4682.25 0.011'), ('-1000 0.85', '4937.21428571 0.011'), ('-1000 0.89', '4980.92857143 0.011'), ('-1000 0.93', '4725.96428571 0.02'), ('-1000 0.97', '4725.96428571 0.02')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10029.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '2070.96296296 0.0'), ('-1000 0.09', '1353.66666667 0.0'), ('-1000 0.13', '1922.25925926 0.0'), ('-1000 0.17', '1922.25925926 0.0'), ('-1000 0.21', '4115.66666667 0.0'), ('-1000 0.25', '1066.2962963 0.0'), ('-1000 0.29', '1066.2962963 0.0'), ('-1000 0.33', '1097.66666667 0.0'), ('-1000 0.37', '2125.07407407 0.0'), ('-1000 0.41', '2329.77777778 0.0'), ('-1000 0.45', '2329.77777778 0.0'), ('-1000 0.49', '2329.77777778 0.0'), ('-1000 0.53', '1182.85185185 0.0'), ('-1000 0.57', '1182.85185185 0.0'), ('-1000 0.61', '2045.40740741 0.0'), ('-1000 0.65', '2045.40740741 0.0'), ('-1000 0.69', '2045.40740741 0.0'), ('-1000 0.73', '2045.40740741 0.0'), ('-1000 0.77', '2045.40740741 0.0'), ('-1000 0.81', '2045.40740741 0.0'), ('-1000 0.85', '4176.88888889 0.0'), ('-1000 0.89', '4176.88888889 0.0'), ('-1000 0.93', '4176.88888889 0.0'), ('-1000 0.97', '4660.96296296 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10027.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1069.5 0.0'), ('-1000 0.05', '2064.46875 0.0'), ('-1000 0.09', '3585.8125 0.0'), ('-1000 0.13', '4475.15625 0.0'), ('-1000 0.17', '4854.28125 0.0'), ('-1000 0.21', '5122.03125 0.0'), ('-1000 0.25', '5122.03125 0.0'), ('-1000 0.29', '5122.03125 0.0'), ('-1000 0.33', '5122.03125 0.0'), ('-1000 0.37', '5122.03125 0.0'), ('-1000 0.41', '5122.03125 0.0'), ('-1000 0.45', '5122.03125 0.0'), ('-1000 0.49', '5122.03125 0.0'), ('-1000 0.53', '5122.03125 0.0'), ('-1000 0.57', '5122.03125 0.0'), ('-1000 0.61', '5122.03125 0.0'), ('-1000 0.65', '5122.03125 0.0'), ('-1000 0.69', '5122.03125 0.0'), ('-1000 0.73', '5122.03125 0.0'), ('-1000 0.77', '5122.03125 0.0'), ('-1000 0.81', '5122.03125 0.0'), ('-1000 0.85', '5122.03125 0.0'), ('-1000 0.89', '5122.03125 0.0'), ('-1000 0.93', '5122.03125 0.0'), ('-1000 0.97', '5122.03125 0.0')])
