
Session joined...
TIME	BW	BLEN	OBR	BR	CHKS	RSDU	BUFF	PLAY
0.0	1500.0	1.25	1002	1002	0	0.25	0.0	0.0
2.0	1500.0	3.33	1002	1002	1	0.17	0.33	1.67
4.0	1500.0	1.33	1002	1002	1	0.98	0.33	3.67
6.0	1500.0	4.33	1002	1002	2	0.48	0.33	5.67
8.0	1500.0	7.33	1002	1002	3	0.01	0.33	7.67
10.0	1500.0	5.33	1002	1002	3	0.85	0.33	9.67
12.0	1500.0	8.33	1002	1002	4	0.24	0.33	11.67
14.0	1500.0	6.33	1002	1002	4	0.79	0.33	13.67
16.0	1500.0	9.33	1002	1002	5	0.0	0.33	15.67
18.0	1500.0	7.33	1002	1002	5	0.66	0.33	17.67
20.0	1500.0	10.33	1002	1002	6	0.02	0.33	19.67
22.0	1500.0	8.33	1002	1002	6	0.89	0.33	21.67
24.0	1500.0	11.33	1002	1002	7	0.35	0.33	23.67
26.0	1500.0	14.33	1002	1434	8	0.0	0.33	25.67
28.0	1500.0	12.33	1434	1434	8	0.32	0.33	27.67
30.0	1500.0	10.33	1434	1434	8	0.87	0.33	29.67
35.0	1500.0	10.33	1434	1434	9	0.91	0.33	34.67
40.0	1500.0	15.33	1434	1002	11	0.0	0.33	39.67
45.0	1500.0	15.33	1002	1002	12	0.0	0.33	44.67
50.0	1500.0	15.33	1002	1002	13	0.0	0.33	49.67
55.0	1500.0	15.33	1002	1434	14	0.0	0.33	54.67
60.0	1500.0	15.33	1434	4661	15	0.0	0.33	59.67
65.0	1500.0	15.33	4661	1002	16	0.0	0.33	64.67
70.0	1500.0	15.33	1002	1002	17	0.0	0.33	69.67
75.0	1500.0	15.33	1002	1002	18	0.0	0.33	74.67
80.0	1500.0	15.33	1002	1002	19	0.22	0.33	79.67
85.0	1500.0	15.33	1002	1002	20	0.0	0.33	84.67
90.0	1500.0	10.33	1002	1002	20	0.0	0.33	89.67
95.0	1500.0	5.33	1002	1002	20	0.0	0.33	94.67
