../trace/desktop_8000_trace_pen/desktop_dash_trace_5224_5003.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 0', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 10', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 20', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 30', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 40', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 50', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 60', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 70', '4040.47619048 0.0 168.0 0.0 84850000.0'), ('-10000000 80', '3990.47619048 0.0 168.0 0.0 83800000.0'), ('-10000000 90', '4005.95238095 0.0 168.0 0.0 84125000.0'), ('-10000000 100', '3992.85714286 0.0 168.0 0.0 83850000.0'), ('-10000000 110', '3971.42857143 0.0 168.0 0.0 83400000.0'), ('-10000000 120', '3947.61904762 0.0 168.0 0.0 82900000.0'), ('-10000000 130', '3897.61904762 0.0 168.0 0.0 81850000.0'), ('-10000000 140', '3850.0 0.0 168.0 0.0 80850000.0'), ('-10000000 150', '3886.9047619 0.0 168.0 0.0 81625000.0'), ('-10000000 160', '3800.0 0.0 168.0 0.0 79800000.0'), ('-10000000 170', '3800.0 0.0 168.0 0.0 79800000.0'), ('-10000000 180', '3780.95238095 0.0 168.0 0.0 79400000.0'), ('-10000000 190', '3863.0952381 0.0 168.0 0.0 81125000.0'), ('-10000000 200', '3739.28571429 0.0 168.0 0.0 78525000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4944_4594.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 20', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 30', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 40', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 50', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 60', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 70', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 80', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 90', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 100', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 110', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 120', '3968.36734694 0.0 196.0 0.0 97225000.0'), ('-10000000 130', '3959.18367347 0.0 196.0 0.0 97000000.0'), ('-10000000 140', '3938.7755102 0.0 196.0 0.0 96500000.0'), ('-10000000 150', '3934.69387755 0.0 196.0 0.0 96400000.0'), ('-10000000 160', '3888.7755102 0.0 196.0 0.0 95275000.0'), ('-10000000 170', '3857.14285714 0.0 196.0 0.0 94500000.0'), ('-10000000 180', '3866.32653061 0.0 196.0 0.0 94725000.0'), ('-10000000 190', '3825.51020408 0.0 196.0 0.0 93725000.0'), ('-10000000 200', '3816.32653061 0.0 196.0 0.0 93500000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_5128_4874.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '3408.16326531 0.0 196.0 0.0 83500000.0'), ('-10000000 0', '3480.6122449 0.0 196.0 0.0 85275000.0'), ('-10000000 10', '3447.95918367 0.0 196.0 0.0 84475000.0'), ('-10000000 20', '3355.10204082 0.0 196.0 0.0 82200000.0'), ('-10000000 30', '3473.46938776 0.0 196.0 0.0 85100000.0'), ('-10000000 40', '3403.06122449 0.0 196.0 0.0 83375000.0'), ('-10000000 50', '3332.65306122 0.0 196.0 0.0 81650000.0'), ('-10000000 60', '3314.28571429 0.0 196.0 0.0 81200000.0'), ('-10000000 70', '3276.53061224 0.0 196.0 0.0 80275000.0'), ('-10000000 80', '3280.6122449 0.0 196.0 0.0 80375000.0'), ('-10000000 90', '3280.6122449 0.0 196.0 0.0 80375000.0'), ('-10000000 100', '3264.28571429 0.0 196.0 0.0 79975000.0'), ('-10000000 110', '3186.73469388 0.0 196.0 0.0 78075000.0'), ('-10000000 120', '3176.53061224 0.0 196.0 0.0 77825000.0'), ('-10000000 130', '3133.67346939 0.0 196.0 0.0 76775000.0'), ('-10000000 140', '3126.53061224 0.0 196.0 0.0 76600000.0'), ('-10000000 150', '3104.08163265 0.0 196.0 0.0 76050000.0'), ('-10000000 160', '3078.57142857 0.0 196.0 0.0 75425000.0'), ('-10000000 170', '3060.20408163 0.0 196.0 0.0 74975000.0'), ('-10000000 180', '3053.06122449 0.0 196.0 0.0 74800000.0'), ('-10000000 190', '3056.12244898 0.0 196.0 0.0 74875000.0'), ('-10000000 200', '3013.26530612 0.0 196.0 0.0 73825000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_8200_9367.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '2491.83673469 0.0 196.0 0.0 61050000.0'), ('-10000000 0', '2501.02040816 0.0 196.0 0.0 61275000.0'), ('-10000000 10', '2495.91836735 0.0 196.0 0.0 61150000.0'), ('-10000000 20', '2503.06122449 0.0 196.0 0.0 61325000.0'), ('-10000000 30', '2509.18367347 0.0 196.0 0.0 61475000.0'), ('-10000000 40', '2501.02040816 0.0 196.0 0.0 61275000.0'), ('-10000000 50', '2477.55102041 0.0 196.0 0.0 60700000.0'), ('-10000000 60', '2501.02040816 0.0 196.0 0.0 61275000.0'), ('-10000000 70', '2493.87755102 0.0 196.0 0.0 61100000.0'), ('-10000000 80', '2475.51020408 0.0 196.0 0.0 60650000.0'), ('-10000000 90', '2458.16326531 0.0 196.0 0.0 60225000.0'), ('-10000000 100', '2502.04081633 0.0 196.0 0.0 61300000.0'), ('-10000000 110', '2478.57142857 0.0 196.0 0.0 60725000.0'), ('-10000000 120', '2498.97959184 0.0 196.0 0.0 61225000.0'), ('-10000000 130', '2474.48979592 0.0 196.0 0.0 60625000.0'), ('-10000000 140', '2462.24489796 0.0 196.0 0.0 60325000.0'), ('-10000000 150', '2480.6122449 0.0 196.0 0.0 60775000.0'), ('-10000000 160', '2430.6122449 0.0 196.0 0.0 59550000.0'), ('-10000000 170', '2476.53061224 0.0 196.0 0.0 60675000.0'), ('-10000000 180', '2416.32653061 0.0 196.0 0.0 59200000.0'), ('-10000000 190', '2451.02040816 0.0 196.0 0.0 60050000.0'), ('-10000000 200', '2415.30612245 0.0 196.0 0.0 59175000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4456_3878.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 20', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 30', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 40', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 50', '4086.73469388 0.0 196.0 0.0 100125000.0'), ('-10000000 60', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 70', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 80', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 90', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 100', '4023.46938776 0.0 196.0 0.0 98575000.0'), ('-10000000 110', '4007.14285714 0.0 196.0 0.0 98175000.0'), ('-10000000 120', '3984.69387755 0.0 196.0 0.0 97625000.0'), ('-10000000 130', '3984.69387755 0.0 196.0 0.0 97625000.0'), ('-10000000 140', '3934.69387755 0.0 196.0 0.0 96400000.0'), ('-10000000 150', '3951.02040816 0.0 196.0 0.0 96800000.0'), ('-10000000 160', '3914.28571429 0.0 196.0 0.0 95900000.0'), ('-10000000 170', '3869.3877551 0.0 196.0 0.0 94800000.0'), ('-10000000 180', '3945.91836735 0.0 196.0 0.0 96675000.0'), ('-10000000 190', '3830.6122449 0.0 196.0 0.0 93850000.0'), ('-10000000 200', '3821.42857143 0.0 196.0 0.0 93625000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_2080_13024.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 20', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 30', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 40', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 50', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 60', '4086.73469388 0.0 196.0 0.0 100125000.0'), ('-10000000 70', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 80', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 90', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 100', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 110', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 120', '3984.69387755 0.0 196.0 0.0 97625000.0'), ('-10000000 130', '3977.55102041 0.0 196.0 0.0 97450000.0'), ('-10000000 140', '3943.87755102 0.0 196.0 0.0 96625000.0'), ('-10000000 150', '3914.28571429 0.0 196.0 0.0 95900000.0'), ('-10000000 160', '3905.10204082 0.0 196.0 0.0 95675000.0'), ('-10000000 170', '3882.65306122 0.0 196.0 0.0 95125000.0'), ('-10000000 180', '3862.24489796 0.0 196.0 0.0 94625000.0'), ('-10000000 190', '3816.32653061 0.0 196.0 0.0 93500000.0'), ('-10000000 200', '3803.06122449 0.0 196.0 0.0 93175000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_7408_8229.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '3710.20408163 0.0 196.0 0.0 90900000.0'), ('-10000000 0', '3828.57142857 0.0 196.0 0.0 93800000.0'), ('-10000000 10', '3706.12244898 0.0 196.0 0.0 90800000.0'), ('-10000000 20', '3751.02040816 0.0 196.0 0.0 91900000.0'), ('-10000000 30', '3823.46938776 0.0 196.0 0.0 93675000.0'), ('-10000000 40', '3737.75510204 0.0 196.0 0.0 91575000.0'), ('-10000000 50', '3780.6122449 0.0 196.0 0.0 92625000.0'), ('-10000000 60', '3748.97959184 0.0 196.0 0.0 91850000.0'), ('-10000000 70', '3728.57142857 0.0 196.0 0.0 91350000.0'), ('-10000000 80', '3708.16326531 0.0 196.0 0.0 90850000.0'), ('-10000000 90', '3717.34693878 0.0 196.0 0.0 91075000.0'), ('-10000000 100', '3628.57142857 0.0 196.0 0.0 88900000.0'), ('-10000000 110', '3748.97959184 0.0 196.0 0.0 91850000.0'), ('-10000000 120', '3630.6122449 0.0 196.0 0.0 88950000.0'), ('-10000000 130', '3608.16326531 0.0 196.0 0.0 88400000.0'), ('-10000000 140', '3639.79591837 0.0 196.0 0.0 89175000.0'), ('-10000000 150', '3626.53061224 0.0 196.0 0.0 88850000.0'), ('-10000000 160', '3673.46938776 0.0 196.0 0.0 90000000.0'), ('-10000000 170', '3637.75510204 0.0 196.0 0.0 89125000.0'), ('-10000000 180', '3610.20408163 0.0 196.0 0.0 88450000.0'), ('-10000000 190', '3544.89795918 0.0 196.0 0.0 86850000.0'), ('-10000000 200', '3583.67346939 0.0 196.0 0.0 87800000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4344_3708.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '3908.16326531 0.0 196.0 0.0 95750000.0'), ('-10000000 0', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 10', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 20', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 30', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 40', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 50', '4007.14285714 0.0 196.0 0.0 98175000.0'), ('-10000000 60', '3977.55102041 0.0 196.0 0.0 97450000.0'), ('-10000000 70', '3897.95918367 0.0 196.0 0.0 95500000.0'), ('-10000000 80', '3884.69387755 0.0 196.0 0.0 95175000.0'), ('-10000000 90', '3847.95918367 0.0 196.0 0.0 94275000.0'), ('-10000000 100', '3877.55102041 0.0 196.0 0.0 95000000.0'), ('-10000000 110', '3814.28571429 0.0 196.0 0.0 93450000.0'), ('-10000000 120', '3838.7755102 0.0 196.0 0.0 94050000.0'), ('-10000000 130', '3819.3877551 0.0 196.0 0.0 93575000.0'), ('-10000000 140', '3777.55102041 0.0 196.0 0.0 92550000.0'), ('-10000000 150', '3751.02040816 0.0 196.0 0.0 91900000.0'), ('-10000000 160', '3714.28571429 0.0 196.0 0.0 91000000.0'), ('-10000000 170', '3823.46938776 0.0 196.0 0.0 93675000.0'), ('-10000000 180', '3782.65306122 0.0 196.0 0.0 92675000.0'), ('-10000000 190', '3639.79591837 0.0 196.0 0.0 89175000.0'), ('-10000000 200', '3689.79591837 0.0 196.0 0.0 90400000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_5704_570.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '2493.87755102 0.0 196.0 0.0 61100000.0'), ('-10000000 0', '2551.02040816 0.0 196.0 0.0 62500000.0'), ('-10000000 10', '2527.55102041 0.0 196.0 0.0 61925000.0'), ('-10000000 20', '2571.42857143 0.0 196.0 0.0 63000000.0'), ('-10000000 30', '2543.87755102 0.0 196.0 0.0 62325000.0'), ('-10000000 40', '2560.20408163 0.0 196.0 0.0 62725000.0'), ('-10000000 50', '2540.81632653 0.0 196.0 0.0 62250000.0'), ('-10000000 60', '2557.14285714 0.0 196.0 0.0 62650000.0'), ('-10000000 70', '2501.02040816 0.0 196.0 0.0 61275000.0'), ('-10000000 80', '2531.63265306 0.0 196.0 0.0 62025000.0'), ('-10000000 90', '2551.02040816 0.0 196.0 0.0 62500000.0'), ('-10000000 100', '2494.89795918 0.0 196.0 0.0 61125000.0'), ('-10000000 110', '2504.08163265 0.0 196.0 0.0 61350000.0'), ('-10000000 120', '2481.63265306 0.0 196.0 0.0 60800000.0'), ('-10000000 130', '2465.30612245 0.0 196.0 0.0 60400000.0'), ('-10000000 140', '2505.10204082 0.0 196.0 0.0 61375000.0'), ('-10000000 150', '2431.63265306 0.0 196.0 0.0 59575000.0'), ('-10000000 160', '2435.71428571 0.0 196.0 0.0 59675000.0'), ('-10000000 170', '2397.95918367 0.0 196.0 0.0 58750000.0'), ('-10000000 180', '2420.40816327 0.0 196.0 0.0 59300000.0'), ('-10000000 190', '2389.79591837 0.0 196.0 0.0 58550000.0'), ('-10000000 200', '2360.20408163 0.0 196.0 0.0 57825000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_5320_5137.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 0', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 10', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 20', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 30', '3997.95918367 0.0 196.0 0.0 97950000.0'), ('-10000000 40', '3977.55102041 0.0 196.0 0.0 97450000.0'), ('-10000000 50', '3934.69387755 0.0 196.0 0.0 96400000.0'), ('-10000000 60', '3916.32653061 0.0 196.0 0.0 95950000.0'), ('-10000000 70', '3895.91836735 0.0 196.0 0.0 95450000.0'), ('-10000000 80', '3875.51020408 0.0 196.0 0.0 94950000.0'), ('-10000000 90', '3843.87755102 0.0 196.0 0.0 94175000.0'), ('-10000000 100', '3825.51020408 0.0 196.0 0.0 93725000.0'), ('-10000000 110', '3793.87755102 0.0 196.0 0.0 92950000.0'), ('-10000000 120', '3777.55102041 0.0 196.0 0.0 92550000.0'), ('-10000000 130', '3743.87755102 0.0 196.0 0.0 91725000.0'), ('-10000000 140', '3739.79591837 0.0 196.0 0.0 91625000.0'), ('-10000000 150', '3721.42857143 0.0 196.0 0.0 91175000.0'), ('-10000000 160', '3691.83673469 0.0 196.0 0.0 90450000.0'), ('-10000000 170', '3658.16326531 0.0 196.0 0.0 89625000.0'), ('-10000000 180', '3648.97959184 0.0 196.0 0.0 89400000.0'), ('-10000000 190', '3603.06122449 0.0 196.0 0.0 88275000.0'), ('-10000000 200', '3582.65306122 0.0 196.0 0.0 87775000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_2760_14022.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -10', '1726.53061224 0.0 196.0 0.0 42300000.0'), ('-10000000 0', '1745.91836735 0.0 196.0 0.0 42775000.0'), ('-10000000 10', '1798.97959184 0.0 196.0 0.0 44075000.0'), ('-10000000 20', '1782.65306122 0.0 196.0 0.0 43675000.0'), ('-10000000 30', '1797.95918367 0.0 196.0 0.0 44050000.0'), ('-10000000 40', '1793.87755102 0.0 196.0 0.0 43950000.0'), ('-10000000 50', '1770.40816327 0.0 196.0 0.0 43375000.0'), ('-10000000 60', '1801.02040816 0.0 196.0 0.0 44125000.0'), ('-10000000 70', '1714.28571429 0.0 196.0 0.0 42000000.0'), ('-10000000 80', '1764.28571429 0.0 196.0 0.0 43225000.0'), ('-10000000 90', '1764.28571429 0.0 196.0 0.0 43225000.0'), ('-10000000 100', '1748.97959184 0.0 196.0 0.0 42850000.0'), ('-10000000 110', '1674.48979592 0.0 196.0 0.0 41025000.0'), ('-10000000 120', '1715.30612245 0.0 196.0 0.0 42025000.0'), ('-10000000 130', '1756.12244898 0.0 196.0 0.0 43025000.0'), ('-10000000 140', '1772.44897959 0.0 196.0 0.0 43425000.0'), ('-10000000 150', '1760.20408163 0.0 196.0 0.0 43125000.0'), ('-10000000 160', '1750.0 0.0 196.0 0.0 42875000.0'), ('-10000000 170', '1724.48979592 0.0 196.0 0.0 42250000.0'), ('-10000000 180', '1710.20408163 0.0 196.0 0.0 41900000.0'), ('-10000000 190', '1713.26530612 0.0 196.0 0.0 41975000.0'), ('-10000000 200', '1741.83673469 0.0 196.0 0.0 42675000.0')])
