../trace/desktop_8000_trace_pen/desktop_dash_trace_5224_5003.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 0', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 5', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 10', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 15', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 20', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 25', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 30', '4109.52380952 0.0 168.0 0.0 86300000.0'), ('-10000000 35', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 40', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 45', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 50', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 55', '4075.0 0.0 168.0 0.0 85575000.0'), ('-10000000 60', '4051.19047619 0.0 168.0 0.0 85075000.0'), ('-10000000 65', '4051.19047619 0.0 168.0 0.0 85075000.0'), ('-10000000 70', '4040.47619048 0.0 168.0 0.0 84850000.0'), ('-10000000 75', '4040.47619048 0.0 168.0 0.0 84850000.0'), ('-10000000 80', '3990.47619048 0.0 168.0 0.0 83800000.0'), ('-10000000 85', '3992.85714286 0.0 168.0 0.0 83850000.0'), ('-10000000 90', '4005.95238095 0.0 168.0 0.0 84125000.0'), ('-10000000 95', '3977.38095238 0.0 168.0 0.0 83525000.0'), ('-10000000 100', '3932.14285714 0.0 168.0 0.0 82575000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_7408_8229.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '3710.20408163 0.0 196.0 0.0 90900000.0'), ('-10000000 0', '3828.57142857 0.0 196.0 0.0 93800000.0'), ('-10000000 5', '3724.48979592 0.0 196.0 0.0 91250000.0'), ('-10000000 10', '3706.12244898 0.0 196.0 0.0 90800000.0'), ('-10000000 15', '3753.06122449 0.0 196.0 0.0 91950000.0'), ('-10000000 20', '3719.3877551 0.0 196.0 0.0 91125000.0'), ('-10000000 25', '3771.42857143 0.0 196.0 0.0 92400000.0'), ('-10000000 30', '3760.20408163 0.0 196.0 0.0 92125000.0'), ('-10000000 35', '3760.20408163 0.0 196.0 0.0 92125000.0'), ('-10000000 40', '3715.30612245 0.0 196.0 0.0 91025000.0'), ('-10000000 45', '3696.93877551 0.0 196.0 0.0 90575000.0'), ('-10000000 50', '3762.24489796 0.0 196.0 0.0 92175000.0'), ('-10000000 55', '3689.79591837 0.0 196.0 0.0 90400000.0'), ('-10000000 60', '3748.97959184 0.0 196.0 0.0 91850000.0'), ('-10000000 65', '3687.75510204 0.0 196.0 0.0 90350000.0'), ('-10000000 70', '3728.57142857 0.0 196.0 0.0 91350000.0'), ('-10000000 75', '3771.42857143 0.0 196.0 0.0 92400000.0'), ('-10000000 80', '3708.16326531 0.0 196.0 0.0 90850000.0'), ('-10000000 85', '3617.34693878 0.0 196.0 0.0 88625000.0'), ('-10000000 90', '3717.34693878 0.0 196.0 0.0 91075000.0'), ('-10000000 95', '3644.89795918 0.0 196.0 0.0 89300000.0'), ('-10000000 100', '3628.57142857 0.0 196.0 0.0 88900000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4944_4594.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 5', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 15', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 20', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 25', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 30', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 35', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 40', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 45', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 50', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 55', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 60', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 65', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 70', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 75', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 80', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 85', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 90', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 95', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 100', '4027.55102041 0.0 196.0 0.0 98675000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4344_3708.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '3862.24489796 0.0 196.0 0.0 94625000.0'), ('-10000000 0', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 5', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 10', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 15', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 20', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 25', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 30', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 35', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 40', '4018.36734694 0.0 196.0 0.0 98450000.0'), ('-10000000 45', '3997.95918367 0.0 196.0 0.0 97950000.0'), ('-10000000 50', '3997.95918367 0.0 196.0 0.0 97950000.0'), ('-10000000 55', '3947.95918367 0.0 196.0 0.0 96725000.0'), ('-10000000 60', '3977.55102041 0.0 196.0 0.0 97450000.0'), ('-10000000 65', '3895.91836735 0.0 196.0 0.0 95450000.0'), ('-10000000 70', '3897.95918367 0.0 196.0 0.0 95500000.0'), ('-10000000 75', '3897.95918367 0.0 196.0 0.0 95500000.0'), ('-10000000 80', '3884.69387755 0.0 196.0 0.0 95175000.0'), ('-10000000 85', '3847.95918367 0.0 196.0 0.0 94275000.0'), ('-10000000 90', '3875.51020408 0.0 196.0 0.0 94950000.0'), ('-10000000 95', '3838.7755102 0.0 196.0 0.0 94050000.0'), ('-10000000 100', '3884.69387755 0.0 196.0 0.0 95175000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_4456_3878.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 5', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 15', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 20', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 25', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 30', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 35', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 40', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 45', '4086.73469388 0.0 196.0 0.0 100125000.0'), ('-10000000 50', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 55', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 60', '4034.69387755 0.0 196.0 0.0 98850000.0'), ('-10000000 65', '4036.73469388 0.0 196.0 0.0 98900000.0'), ('-10000000 70', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 75', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 80', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 85', '4077.55102041 0.0 196.0 0.0 99900000.0'), ('-10000000 90', '4007.14285714 0.0 196.0 0.0 98175000.0'), ('-10000000 95', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 100', '4023.46938776 0.0 196.0 0.0 98575000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_2080_13024.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 0', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 5', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 10', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 15', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 20', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 25', '4136.73469388 0.0 196.0 0.0 101350000.0'), ('-10000000 30', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 35', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 40', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 45', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 50', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 55', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 60', '4086.73469388 0.0 196.0 0.0 100125000.0'), ('-10000000 65', '4057.14285714 0.0 196.0 0.0 99400000.0'), ('-10000000 70', '4107.14285714 0.0 196.0 0.0 100625000.0'), ('-10000000 75', '4034.69387755 0.0 196.0 0.0 98850000.0'), ('-10000000 80', '4036.73469388 0.0 196.0 0.0 98900000.0'), ('-10000000 85', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 90', '4047.95918367 0.0 196.0 0.0 99175000.0'), ('-10000000 95', '4027.55102041 0.0 196.0 0.0 98675000.0'), ('-10000000 100', '4027.55102041 0.0 196.0 0.0 98675000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_5128_4874.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '3323.46938776 0.0 196.0 0.0 81425000.0'), ('-10000000 0', '3443.87755102 0.0 196.0 0.0 84375000.0'), ('-10000000 5', '3450.0 0.0 196.0 0.0 84525000.0'), ('-10000000 10', '3445.91836735 0.0 196.0 0.0 84425000.0'), ('-10000000 15', '3388.7755102 0.0 196.0 0.0 83025000.0'), ('-10000000 20', '3375.51020408 0.0 196.0 0.0 82700000.0'), ('-10000000 25', '3364.28571429 0.0 196.0 0.0 82425000.0'), ('-10000000 30', '3405.10204082 0.0 196.0 0.0 83425000.0'), ('-10000000 35', '3368.36734694 0.0 196.0 0.0 82525000.0'), ('-10000000 40', '3351.02040816 0.0 196.0 0.0 82100000.0'), ('-10000000 45', '3423.46938776 0.0 196.0 0.0 83875000.0'), ('-10000000 50', '3334.69387755 0.0 196.0 0.0 81700000.0'), ('-10000000 55', '3286.73469388 0.0 196.0 0.0 80525000.0'), ('-10000000 60', '3303.06122449 0.0 196.0 0.0 80925000.0'), ('-10000000 65', '3273.46938776 0.0 196.0 0.0 80200000.0'), ('-10000000 70', '3282.65306122 0.0 196.0 0.0 80425000.0'), ('-10000000 75', '3296.93877551 0.0 196.0 0.0 80775000.0'), ('-10000000 80', '3256.12244898 0.0 196.0 0.0 79775000.0'), ('-10000000 85', '3255.10204082 0.0 196.0 0.0 79750000.0'), ('-10000000 90', '3238.7755102 0.0 196.0 0.0 79350000.0'), ('-10000000 95', '3228.57142857 0.0 196.0 0.0 79100000.0'), ('-10000000 100', '3219.3877551 0.0 196.0 0.0 78875000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_8200_9367.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '2464.28571429 0.0 196.0 0.0 60375000.0'), ('-10000000 0', '2488.7755102 0.0 196.0 0.0 60975000.0'), ('-10000000 5', '2495.91836735 0.0 196.0 0.0 61150000.0'), ('-10000000 10', '2471.42857143 0.0 196.0 0.0 60550000.0'), ('-10000000 15', '2516.32653061 0.0 196.0 0.0 61650000.0'), ('-10000000 20', '2489.79591837 0.0 196.0 0.0 61000000.0'), ('-10000000 25', '2464.28571429 0.0 196.0 0.0 60375000.0'), ('-10000000 30', '2500.0 0.0 196.0 0.0 61250000.0'), ('-10000000 35', '2483.67346939 0.0 196.0 0.0 60850000.0'), ('-10000000 40', '2482.65306122 0.0 196.0 0.0 60825000.0'), ('-10000000 45', '2455.10204082 0.0 196.0 0.0 60150000.0'), ('-10000000 50', '2477.55102041 0.0 196.0 0.0 60700000.0'), ('-10000000 55', '2490.81632653 0.0 196.0 0.0 61025000.0'), ('-10000000 60', '2495.91836735 0.0 196.0 0.0 61150000.0'), ('-10000000 65', '2470.40816327 0.0 196.0 0.0 60525000.0'), ('-10000000 70', '2464.28571429 0.0 196.0 0.0 60375000.0'), ('-10000000 75', '2464.28571429 0.0 196.0 0.0 60375000.0'), ('-10000000 80', '2495.91836735 0.0 196.0 0.0 61150000.0'), ('-10000000 85', '2450.0 0.0 196.0 0.0 60025000.0'), ('-10000000 90', '2470.40816327 0.0 196.0 0.0 60525000.0'), ('-10000000 95', '2484.69387755 0.0 196.0 0.0 60875000.0'), ('-10000000 100', '2481.63265306 0.0 196.0 0.0 60800000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_5704_570.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '2475.51020408 0.0 196.0 0.0 60650000.0'), ('-10000000 0', '2550.0 0.0 196.0 0.0 62475000.0'), ('-10000000 5', '2482.65306122 0.0 196.0 0.0 60825000.0'), ('-10000000 10', '2509.18367347 0.0 196.0 0.0 61475000.0'), ('-10000000 15', '2492.85714286 0.0 196.0 0.0 61075000.0'), ('-10000000 20', '2482.65306122 0.0 196.0 0.0 60825000.0'), ('-10000000 25', '2481.63265306 0.0 196.0 0.0 60800000.0'), ('-10000000 30', '2584.69387755 0.0 196.0 0.0 63325000.0'), ('-10000000 35', '2563.26530612 0.0 196.0 0.0 62800000.0'), ('-10000000 40', '2491.83673469 0.0 196.0 0.0 61050000.0'), ('-10000000 45', '2554.08163265 0.0 196.0 0.0 62575000.0'), ('-10000000 50', '2481.63265306 0.0 196.0 0.0 60800000.0'), ('-10000000 55', '2508.16326531 0.0 196.0 0.0 61450000.0'), ('-10000000 60', '2570.40816327 0.0 196.0 0.0 62975000.0'), ('-10000000 65', '2452.04081633 0.0 196.0 0.0 60075000.0'), ('-10000000 70', '2444.89795918 0.0 196.0 0.0 59900000.0'), ('-10000000 75', '2426.53061224 0.0 196.0 0.0 59450000.0'), ('-10000000 80', '2422.44897959 0.0 196.0 0.0 59350000.0'), ('-10000000 85', '2485.71428571 0.0 196.0 0.0 60900000.0'), ('-10000000 90', '2433.67346939 0.0 196.0 0.0 59625000.0'), ('-10000000 95', '2474.48979592 0.0 196.0 0.0 60625000.0'), ('-10000000 100', '2471.42857143 0.0 196.0 0.0 60550000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_200_10299.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '3576.53061224 0.0 196.0 0.0 87625000.0'), ('-10000000 0', '3680.6122449 0.0 196.0 0.0 90175000.0'), ('-10000000 5', '3669.3877551 0.0 196.0 0.0 89900000.0'), ('-10000000 10', '3630.6122449 0.0 196.0 0.0 88950000.0'), ('-10000000 15', '3498.97959184 0.0 196.0 0.0 85725000.0'), ('-10000000 20', '3517.34693878 0.0 196.0 0.0 86175000.0'), ('-10000000 25', '3572.44897959 0.0 196.0 0.0 87525000.0'), ('-10000000 30', '3537.75510204 0.0 196.0 0.0 86675000.0'), ('-10000000 35', '3513.26530612 0.0 196.0 0.0 86075000.0'), ('-10000000 40', '3506.12244898 0.0 196.0 0.0 85900000.0'), ('-10000000 45', '3419.3877551 0.0 196.0 0.0 83775000.0'), ('-10000000 50', '3524.48979592 0.0 196.0 0.0 86350000.0'), ('-10000000 55', '3517.34693878 0.0 196.0 0.0 86175000.0'), ('-10000000 60', '3478.57142857 0.0 196.0 0.0 85225000.0'), ('-10000000 65', '3483.67346939 0.0 196.0 0.0 85350000.0'), ('-10000000 70', '3476.53061224 0.0 196.0 0.0 85175000.0'), ('-10000000 75', '3591.83673469 0.0 196.0 0.0 88000000.0'), ('-10000000 80', '3519.3877551 0.0 196.0 0.0 86225000.0'), ('-10000000 85', '3510.20408163 0.0 196.0 0.0 86000000.0'), ('-10000000 90', '3394.89795918 0.0 196.0 0.0 83175000.0'), ('-10000000 95', '3333.67346939 0.0 196.0 0.0 81675000.0'), ('-10000000 100', '3446.93877551 0.0 196.0 0.0 84450000.0')])
../trace/desktop_8000_trace_pen/desktop_dash_trace_2392_13483.txt QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-10000000 -5', '3448.97959184 0.0 196.0 0.0 84500000.0'), ('-10000000 0', '3773.46938776 0.0 196.0 0.0 92450000.0'), ('-10000000 5', '3689.79591837 0.0 196.0 0.0 90400000.0'), ('-10000000 10', '3708.16326531 0.0 196.0 0.0 90850000.0'), ('-10000000 15', '3703.06122449 0.0 196.0 0.0 90725000.0'), ('-10000000 20', '3693.87755102 0.0 196.0 0.0 90500000.0'), ('-10000000 25', '3710.20408163 0.0 196.0 0.0 90900000.0'), ('-10000000 30', '3714.28571429 0.0 196.0 0.0 91000000.0'), ('-10000000 35', '3632.65306122 0.0 196.0 0.0 89000000.0'), ('-10000000 40', '3691.83673469 0.0 196.0 0.0 90450000.0'), ('-10000000 45', '3635.71428571 0.0 196.0 0.0 89075000.0'), ('-10000000 50', '3646.93877551 0.0 196.0 0.0 89350000.0'), ('-10000000 55', '3617.34693878 0.0 196.0 0.0 88625000.0'), ('-10000000 60', '3660.20408163 0.0 196.0 0.0 89675000.0'), ('-10000000 65', '3552.04081633 0.0 196.0 0.0 87025000.0'), ('-10000000 70', '3569.3877551 0.0 196.0 0.0 87450000.0'), ('-10000000 75', '3628.57142857 0.0 196.0 0.0 88900000.0'), ('-10000000 80', '3496.93877551 0.0 196.0 0.0 85675000.0'), ('-10000000 85', '3628.57142857 0.0 196.0 0.0 88900000.0'), ('-10000000 90', '3546.93877551 0.0 196.0 0.0 86900000.0'), ('-10000000 95', '3551.02040816 0.0 196.0 0.0 87000000.0'), ('-10000000 100', '3560.20408163 0.0 196.0 0.0 87225000.0')])
